grad,area,height,recall,precision,fscore
4.6,16,0,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,16,1,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,16,2,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,16,3,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,16,4,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,16,5,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,16,6,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,16,7,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,16,8,0.9549608355091384,0.9014171287738756,0.9274167987321711
4.6,16,9,0.9543080939947781,0.9013563501849569,0.9270767279644896
4.6,16,10,0.9503916449086162,0.9015479876160991,0.9253257070225612
4.6,16,11,0.9360313315926893,0.9013199245757385,0.9183477425552353
4.6,16,12,0.9171018276762402,0.9006410256410257,0.9087968952134542
