grad,area,height,recall,precision,fscore
4.6,8,6,0.4654046997389034,0.8759213759213759,0.6078431372549019
4.6,10,6,0.737597911227154,0.889763779527559,0.806566738044254
4.6,11,6,0.827023498694517,0.8992193044712562,0.8616116967018023
4.6,12,6,0.8864229765013055,0.8981481481481481,0.8922470433639949
4.6,9,6,0.6161879895561357,0.8822429906542056,0.7255956956187548
4.6,13,6,0.9223237597911227,0.897712833545108,0.9098518995492594
4.6,14,6,0.9419060052219321,0.9001871490954461,0.9205741626794258
4.6,17,6,0.9530026109660574,0.8990147783251231,0.9252217997465145
4.6,15,6,0.9490861618798956,0.8991960420531849,0.9234677675452525
4.6,18,6,0.9445169712793734,0.8976426799007444,0.9204834605597964
4.6,16,6,0.9556135770234987,0.9014778325123153,0.9277566539923955
4.6,19,6,0.9347258485639687,0.9000628535512256,0.9170669228306116
4.6,20,6,0.9275456919060052,0.898798228969007,0.912945711532284
4.6,21,6,0.9177545691906005,0.8949713558243158,0.9062197873026104
4.6,22,6,0.9040469973890339,0.8964401294498382,0.9002274943126422
4.6,23,6,0.8851174934725848,0.8974189278623428,0.8912257640486361
